type,bedrooms,bathrooms,area,used area,furniture status,balcony,garage,private_pool,floors,begin_at,Bình Chánh,Bình Thạnh,Bình Tân,Gò Vấp,Hồ Chí Minh,Nhà Bè,Phú Nhuận,Quận 1,Quận 10,Quận 11,Quận 12,Quận 2,Quận 3,Quận 4,Quận 5,Quận 6,Quận 7,Quận 8,Quận 9,Thủ Đức,Tân Bình,Tân Phú,Giấy tay,HĐ mua bán,Khác,Sổ hồng,Sổ đỏ
0,2,2,66.66,66.66,1,0,0,0,8,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,2,2,66.66,66.66,1,0,0,0,8,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,2,1,59,54,0,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,2,2,63,60,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,2,2,84,76,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,2,2,67,67,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,2,1,59,54.8,0,0,0,0,21,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,2,1,59,54.1,0,0,0,0,26,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,3,2,73.49,75.61679186,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,2,1,59,54,0,0,0,0,25,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,3,2,73.49,75.61679186,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,2,2,68,68,1,0,0,0,14,1576874342,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,2,73,73,2,0,0,0,13.7204611,1640822400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,3,2,73.49,75.61679186,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,2,1,59,54,0,0,0,0,13,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,3,2,98.5,98.5,2,0,0,0,3,1576874342,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3,2,73.49,75.61679186,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,2,2,66.66,66.66,1,0,0,0,8,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,3,2,73.49,75.61679186,1,0,0,0,13.7204611,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,2,1,59,55,1,0,0,0,25,1576874342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
